boundary,a_fm,sigma,segment,n_samples,method,wavelength_mc,amplitude_q,amplitude_std_q,edge_sensitive,status
PBC,0.0408,25,1,400,fft,250,,,no,too_few_cycles
PBC,0.0408,30,0,400,peak_spacing,,,,,no_estimate
PBC,0.0408,30,0,400,fft,220,,,no,too_few_cycles
PBC,0.0408,30,1,400,peak_spacing,196,1.18212,0,no,too_few_cycles
PBC,0.0408,30,1,400,fft,220,,,no,too_few_cycles
PBC,0.0408,35,0,400,peak_spacing,,,,,no_estimate
PBC,0.0408,35,0,400,fft,190,,,no,too_few_cycles
PBC,0.0408,35,1,400,peak_spacing,208,0.888146,0,yes,too_few_cycles
PBC,0.0408,35,1,400,fft,190,,,no,too_few_cycles
PBC,0.0408,40,0,400,peak_spacing,,,,,no_estimate
PBC,0.0408,40,0,400,fft,160,,,no,too_few_cycles
PBC,0.0408,40,1,400,peak_spacing,224,0.670965,0,yes,too_few_cycles
PBC,0.0408,40,1,400,fft,160,,,no,too_few_cycles
OBC,0.0299,2,0,400,peak_spacing,26.5,3.22583,1.42497,no,ok
OBC,0.0299,2,0,400,fft,194,,,no,ok
OBC,0.0299,2,1,400,peak_spacing,41,3.10752,1.24676,no,ok
OBC,0.0299,2,1,400,fft,388,,,no,too_few_cycles
OBC,0.0299,4,0,400,peak_spacing,61,2.52879,1.05539,no,ok
OBC,0.0299,4,0,400,fft,188,,,no,ok
OBC,0.0299,4,1,400,peak_spacing,53,2.55646,1.15774,no,ok
OBC,0.0299,4,1,400,fft,376,,,no,too_few_cycles
OBC,0.0299,6,0,400,peak_spacing,62,1.84077,0.753817,no,ok
OBC,0.0299,6,0,400,fft,182,,,no,ok
OBC,0.0299,6,1,400,peak_spacing,187,3.66806,0.895409,yes,too_few_cycles
OBC,0.0299,6,1,400,fft,364,,,no,too_few_cycles
OBC,0.0299,8,0,400,peak_spacing,63.5,1.95759,1.07419,no,ok
OBC,0.0299,8,0,400,fft,176,,,no,ok
OBC,0.0299,8,1,400,peak_spacing,201.5,3.52649,1.0729,no,too_few_cycles
OBC,0.0299,8,1,400,fft,352,,,no,too_few_cycles
OBC,0.0299,10,0,400,peak_spacing,160.5,2.31197,1.20238,no,ok
OBC,0.0299,10,0,400,fft,340,,,no,too_few_cycles
OBC,0.0299,10,1,400,peak_spacing,203,3.23999,1.21484,no,too_few_cycles
OBC,0.0299,10,1,400,fft,340,,,no,too_few_cycles
OBC,0.0299,12,0,400,peak_spacing,162,2.01264,1.20695,no,ok
OBC,0.0299,12,0,400,fft,328,,,no,too_few_cycles
OBC,0.0299,12,1,400,peak_spacing,204,2.9924,1.30956,no,too_few_cycles
OBC,0.0299,12,1,400,fft,328,,,no,too_few_cycles
OBC,0.0299,15,0,400,peak_spacing,188,2.79957,0,no,too_few_cycles
OBC,0.0299,15,0,400,fft,310,,,no,too_few_cycles
OBC,0.0299,15,1,400,peak_spacing,207,2.69578,1.36899,yes,too_few_cycles
OBC,0.0299,15,1,400,fft,310,,,no,too_few_cycles
OBC,0.0299,20,0,400,peak_spacing,196,2.28765,0,no,too_few_cycles
OBC,0.0299,20,0,400,fft,280,,,no,too_few_cycles
OBC,0.0299,20,1,400,peak_spacing,232,2.96514,0,no,too_few_cycles
OBC,0.0299,20,1,400,fft,280,,,no,too_few_cycles
OBC,0.0299,25,0,400,peak_spacing,208,1.87749,0,no,too_few_cycles
OBC,0.0299,25,0,400,fft,250,,,no,too_few_cycles
OBC,0.0299,25,1,400,peak_spacing,,,,,no_estimate
OBC,0.0299,25,1,400,fft,250,,,no,too_few_cycles
OBC,0.0299,30,0,400,peak_spacing,226,1.5413,0,yes,too_few_cycles
OBC,0.0299,30,0,400,fft,220,,,no,too_few_cycles
OBC,0.0299,30,1,400,peak_spacing,,,,,no_estimate
OBC,0.0299,30,1,400,fft,220,,,no,too_few_cycles
OBC,0.0299,35,0,400,peak_spacing,244,1.27355,0,yes,too_few_cycles
OBC,0.0299,35,0,400,fft,190,,,no,too_few_cycles
OBC,0.0299,35,1,400,peak_spacing,,,,,no_estimate
OBC,0.0299,35,1,400,fft,190,,,no,too_few_cycles
OBC,0.0299,40,0,400,peak_spacing,268,1.06388,0,yes,too_few_cycles
OBC,0.0299,40,0,400,fft,160,,,no,too_few_cycles
OBC,0.0299,40,1,400,peak_spacing,,,,,no_estimate
OBC,0.0299,40,1,400,fft,160,,,no,too_few_cycles
PBC,0.0299,2,0,400,peak_spacing,44,3.01736,1.32454,no,ok
PBC,0.0299,2,0,400,fft,194,,,no,ok
PBC,0.0299,2,1,400,peak_spacing,67,4.64581,1.98702,no,ok
PBC,0.0299,2,1,400,fft,194,,,no,ok
PBC,0.0299,4,0,400,peak_spacing,42,1.96415,1.13093,no,ok
PBC,0.0299,4,0,400,fft,188,,,no,ok
PBC,0.0299,4,1,400,peak_spacing,77,4.93734,2.5991,no,ok
PBC,0.0299,4,1,400,fft,188,,,no,ok
PBC,0.0299,6,0,400,peak_spacing,87,2.36463,1.12126,no,ok
PBC,0.0299,6,0,400,fft,182,,,no,ok
PBC,0.0299,6,1,400,peak_spacing,77,4.02451,2.5027,no,ok
PBC,0.0299,6,1,400,fft,182,,,no,ok
PBC,0.0299,8,0,400,peak_spacing,90,2.38003,0.495935,no,ok
PBC,0.0299,8,0,400,fft,176,,,no,ok
PBC,0.0299,8,1,400,peak_spacing,182,4.97349,1.75166,no,too_few_cycles
PBC,0.0299,8,1,400,fft,176,,,no,ok
PBC,0.0299,10,0,400,peak_spacing,138,2.16307,0.28932,no,ok
PBC,0.0299,10,0,400,fft,170,,,no,ok
PBC,0.0299,10,1,400,peak_spacing,182,4.41982,1.675,no,too_few_cycles
PBC,0.0299,10,1,400,fft,170,,,no,ok
PBC,0.0299,12,0,400,peak_spacing,138,1.84407,0.347754,no,ok
PBC,0.0299,12,0,400,fft,164,,,no,ok
PBC,0.0299,12,1,400,peak_spacing,182.5,3.91002,1.61686,no,too_few_cycles
PBC,0.0299,12,1,400,fft,164,,,no,ok
PBC,0.0299,15,0,400,peak_spacing,140,1.48273,0.426208,no,ok
PBC,0.0299,15,0,400,fft,155,,,no,ok
PBC,0.0299,15,1,400,peak_spacing,182.5,3.24879,1.52315,no,too_few_cycles
PBC,0.0299,15,1,400,fft,310,,,no,too_few_cycles
PBC,0.0299,20,0,400,peak_spacing,182,1.35779,0.195919,no,too_few_cycles
PBC,0.0299,20,0,400,fft,280,,,no,too_few_cycles
PBC,0.0299,20,1,400,peak_spacing,179,2.43652,1.3494,no,too_few_cycles
PBC,0.0299,20,1,400,fft,280,,,no,too_few_cycles
PBC,0.0299,25,0,400,peak_spacing,228,1.26219,0,no,too_few_cycles
PBC,0.0299,25,0,400,fft,250,,,no,too_few_cycles
PBC,0.0299,25,1,400,peak_spacing,204,2.93234,0,yes,too_few_cycles
PBC,0.0299,25,1,400,fft,250,,,no,too_few_cycles
PBC,0.0299,30,0,400,peak_spacing,232,1.03832,0,no,too_few_cycles
PBC,0.0299,30,0,400,fft,220,,,no,too_few_cycles
PBC,0.0299,30,1,400,peak_spacing,216,2.34019,0,yes,too_few_cycles
PBC,0.0299,30,1,400,fft,220,,,no,too_few_cycles
PBC,0.0299,35,0,400,peak_spacing,238,0.842311,0,no,too_few_cycles
PBC,0.0299,35,0,400,fft,190,,,no,too_few_cycles
PBC,0.0299,35,1,400,peak_spacing,,,,,no_estimate
PBC,0.0299,35,1,400,fft,190,,,no,too_few_cycles
PBC,0.0299,40,0,400,peak_spacing,250,0.679679,0,no,too_few_cycles
PBC,0.0299,40,0,400,fft,160,,,no,too_few_cycles
PBC,0.0299,40,1,400,peak_spacing,,,,,no_estimate
PBC,0.0299,40,1,400,fft,160,,,no,too_few_cycles
OBC,0.0191,2,0,400,peak_spacing,41.5,3.30864,1.46155,no,ok
OBC,0.0191,2,0,400,fft,388,,,no,too_few_cycles
OBC,0.0191,2,1,400,peak_spacing,75.5,3.35463,1.2977,no,ok
OBC,0.0191,2,1,400,fft,194,,,no,ok
OBC,0.0191,4,0,400,peak_spacing,211,5.09376,1.55743,no,too_few_cycles
OBC,0.0191,4,0,400,fft,376,,,no,too_few_cycles
OBC,0.0191,4,1,400,peak_spacing,67,2.38936,1.27994,no,ok
OBC,0.0191,4,1,400,fft,188,,,no,ok
OBC,0.0191,6,0,400,peak_spacing,264,5.29137,0.0234695,no,too_few_cycles
OBC,0.0191,6,0,400,fft,364,,,no,too_few_cycles
OBC,0.0191,6,1,400,peak_spacing,200.5,3.77681,0.204642,no,too_few_cycles
OBC,0.0191,6,1,400,fft,182,,,no,ok
